#III
#V
#VII+
#VII6
#i
#i64
#iii
#iiio2
#iiio64
#iio
#iio2
#iio43
#iio6
#iio7
#io
#io2
#io43
#io6
#io64
#io65
#io7
#iv
#iv%43
#iv%7
#iv7
#ivo
#ivo2
#ivo43
#ivo6
#ivo64
#ivo65
#ivo7
#vi%2
#vi%43
#vi43
#vi6
#vi64
#vi65
#vi7
#vii
#vii%
#vii%43
#vii%7
#vii+
#vii43
#vii6
#vii65
#viio
#viio2
#viio43
#viio6
#viio64
#viio65
#viio7
#vio
#vio2
#vio43
#vio6
#vio65
#vio7
#vo
#vo2
#vo43
#vo6
#vo7
@none
Fr
Fr6
Ger
Ger43
Ger6
I
I+
I+6
I+64
I6
I64
I65
I7
II
II6
II64
II65
II7
III
III+
III+6
III43
III6
III64
III65
III7
IIIM2
IM2
IM7
IV
IV+
IV+6
IV+64
IV2
IV43
IV6
IV64
IV7
IVM43
IVM7
It6
V
V+
V+6
V+65
V+7
V2
V43
V6
V64
V65
V7
V9
VI
VI+
VI+7
VI2
VI43
VI6
VI64
VI65
VI7
VII
VII2
VII43
VII6
VII64
VII65
VII7
VIM2
VIM43
VIM7
VM2
bI6
bII
bII+
bII+6
bII2
bII6
bII64
bIII
bIII2
bIII6
bIII64
bIII65
bIIM7
bIV2
bIV7
bV65
bVI
bVI2
bVI6
bVI64
bVI7
bVII
bVII2
bVII43
bVII6
bVII64
bVII65
bVII7
bi6
bi7
bii7
biii
biii6
biio64
biv
bv64
bvii
bvii6
bvii64
i
i2
i43
i6
i64
i7
ii
ii%
ii%2
ii%43
ii%6
ii%65
ii%7
ii2
ii42
ii43
ii6
ii64
ii65
ii7
iii
iii%43
iii%7
iii2
iii43
iii6
iii64
iii65
iii7
iiio
iiio2
iiio43
iiio6
iiio64
iiio65
iiio7
iio
iio2
iio43
iio6
iio64
iio65
iio7
io6
iv
iv%43
iv43
iv6
iv64
iv65
iv7
ivo
ivo2
ivo64
ivo65
ivo7
v
v%2
v%43
v%7
v43
v6
v64
v65
v7
vi
vi%2
vi%43
vi2
vi43
vi6
vi64
vi65
vi7
vii
vii%
vii%2
vii%43
vii%65
vii%7
vii2
vii6
vii64
vii65
vii7
viio
viio2
viio43
viio6
viio64
viio65
viio7
vio
vio2
vio43
vio6
vio64
vio65
vio7
vo
vo6
vo64
vo65
vo7
